regulator.values	target.values	mi.values	scc.values	count.values	log.p.values
ENSG00000196498	ENSG00000182919	0.114259	0.0223313	1	-nan
ENSG00000196498	ENSG00000182903	0.115671	0.0774204	1	-nan
ENSG00000196498	ENSG00000182224	0.0322162	0.0357592	1	-nan
ENSG00000196498	ENSG00000182141	0.0469264	0.0418375	1	-nan
ENSG00000196498	ENSG00000181982	0.0386966	0.0367036	1	-nan
ENSG00000196498	ENSG00000180596	0.0467035	0.0356642	1	-nan
ENSG00000196498	ENSG00000180071	0.0176019	0.0266059	2	-nan
ENSG00000196498	ENSG00000179604	0.122377	0.0625049	1	-nan
ENSG00000196498	ENSG00000178295	0.0175604	0.0282013	1	-nan
ENSG00000196498	ENSG00000178234	0.116263	0.0553004	1	-nan
ENSG00000196498	ENSG00000178209	0.113971	0.0680368	1	-nan
ENSG00000196498	ENSG00000177694	0.0916495	0.0833355	1	-nan
ENSG00000196498	ENSG00000176720	0.0508357	0.0297414	1	-nan
ENSG00000196498	ENSG00000176624	0.0860908	0.0453915	1	-nan
ENSG00000196498	ENSG00000175793	0.042344	0.0321909	1	-nan
ENSG00000196498	ENSG00000175354	0.151648	0.0711033	2	-nan
ENSG00000196498	ENSG00000132326	0.0957949	0.0666273	1	-nan
ENSG00000196498	ENSG00000131504	0.121253	0.0793594	1	-nan
ENSG00000196498	ENSG00000129654	0.0564443	0.0381351	1	-nan
ENSG00000196498	ENSG00000128973	0.0386831	0.0280203	2	-nan
ENSG00000196498	ENSG00000128944	0.0300688	0.0172056	1	-nan
ENSG00000196498	ENSG00000128791	0.102439	0.0438265	1	-nan
ENSG00000196498	ENSG00000128709	0.00961925	0.00872423	1	-nan
ENSG00000196498	ENSG00000127311	0.0237449	0.0240208	1	-nan
ENSG00000196498	ENSG00000126953	0.0533614	0.0140802	1	-nan
ENSG00000196498	ENSG00000126070	0.118213	0.0810194	2	-nan
ENSG00000196498	ENSG00000125871	0.0734642	0.0302025	1	-nan
ENSG00000196498	ENSG00000125812	0.040526	0.0221066	1	-nan
ENSG00000196498	ENSG00000124788	0.107014	0.0804879	1	-nan
ENSG00000196498	ENSG00000124226	0.16707	0.041907	1	-nan
ENSG00000196498	ENSG00000124177	0.151184	0.0844942	1	-nan
ENSG00000196498	ENSG00000122952	0.0418604	0.0211439	1	-nan
ENSG00000196498	ENSG00000122691	0.0121724	0.0139848	1	-nan
ENSG00000196498	ENSG00000119632	0.109471	-0.0124914	1	-nan
ENSG00000196498	ENSG00000119321	0.0568337	0.0296621	1	-nan
ENSG00000196498	ENSG00000118246	0.0814587	0.0372827	1	-nan
ENSG00000196498	ENSG00000117461	0.0273794	0.0411047	1	-nan
ENSG00000196498	ENSG00000116133	0.108318	0.0145019	1	-nan
ENSG00000196498	ENSG00000116062	0.0912093	0.0476791	1	-nan
